format=0 tracks=1 division=240
# TRACK 0

BA    1   CR    1+5/12   TR  0   CH  7   ST &B6 &0A &40
BA    1   CR   1+17/40   TR  0   CH  7   ST &B6 &5B &50
BA    1   CR    1+7/16   TR  0   CH  7   ST &B6 &5D &0C
BA    1   CR 1+107/240   TR  0   CH  7   ST &B6 &5E &00
BA    1   CR   1+11/24   TR  0   CH  7   ST &B6 &49 &40
BA    1   CR    1+7/15   TR  0   CH  7   ST &B6 &48 &40
BA    1   CR   1+23/48   TR  0   CH  7   ST &B6 &47 &40
BA    1   CR   1+39/80   TR  0   CH  7   ST &B6 &4A &40
BA    1   CR     1+1/2   TR  0   CH  8   ST &B7 &00 &00
BA    1   CR  1+61/120   TR  0   CH  8   ST &B7 &20 &00
BA    1   CR   1+13/24   TR  0   CH  8   ST &B7 &0A &40
BA    1   CR   1+11/20   TR  0   CH  8   ST &B7 &5B &50
BA    1   CR    1+9/16   TR  0   CH  8   ST &B7 &5D &00
BA    1   CR 1+137/240   TR  0   CH  8   ST &B7 &5E &40
BA    1   CR    1+7/12   TR  0   CH  8   ST &B7 &49 &40
BA    1   CR  1+71/120   TR  0   CH  8   ST &B7 &48 &40
BA    1   CR   1+29/48   TR  0   CH  8   ST &B7 &47 &5F
BA    1   CR   1+49/80   TR  0   CH  8   ST &B7 &4A &5C
BA    1   CR     1+5/8   TR  0   CH  9   ST &B8 &00 &00
BA    1   CR   1+19/30   TR  0   CH  9   ST &B8 &20 &40
BA    1   CR     1+2/3   TR  0   CH  9   ST &B8 &0A &40
BA    1   CR   1+27/40   TR  0   CH  9   ST &B8 &5B &50
BA    1   CR   1+11/16   TR  0   CH  9   ST &B8 &5D &00
BA    1   CR 1+167/240   TR  0   CH  9   ST &B8 &5E &40
BA    1   CR   1+17/24   TR  0   CH  9   ST &B8 &49 &40
BA    1   CR   1+43/60   TR  0   CH  9   ST &B8 &48 &40
BA    1   CR   1+35/48   TR  0   CH  9   ST &B8 &47 &40
BA    1   CR   1+59/80   TR  0   CH  9   ST &B8 &4A &40
BA    1   CR     1+3/4   TR  0   CH 10   ST &B9 &00 &7F
BA    1   CR  1+91/120   TR  0   CH 10   ST &B9 &20 &00
BA    1   CR   1+19/24   TR  0   CH 10   ST &B9 &0A &40
BA    1   CR     1+4/5   TR  0   CH 10   ST &B9 &5B &50
BA    1   CR   1+13/16   TR  0   CH 10   ST &B9 &5D &00
BA    1   CR 1+197/240   TR  0   CH 10   ST &B9 &5E &45
BA    1   CR     1+5/6   TR  0   CH 10   ST &B9 &63 &17
BA    1   CR 1+101/120   TR  0   CH 10   ST &B9 &62 &26
BA    1   CR   1+41/48   TR  0   CH 10   ST &B9 &06 &17
BA    1   CR   1+69/80   TR  0   CH 10   ST &B9 &63 &16
BA    1   CR     1+7/8   TR  0   CH 10   ST &B9 &62 &0E
BA    1   CR   1+53/60   TR  0   CH 10   ST &B9 &06 &30
BA    1   CR   1+43/48   TR  0   CH 10   ST &B9 &62 &10
BA    1   CR 1+217/240   TR  0   CH 10   ST &B9 &06 &33
BA    1   CR   1+11/12   TR  0   CH 10   ST &B9 &62 &21
BA    1   CR   1+37/40   TR  0   CH 10   ST &B9 &06 &0F
BA    1   CR   1+15/16   TR  0   CH 10   ST &B9 &62 &26
BA    1   CR 1+227/240   TR  0   CH 10   ST &B9 &06 &1B
BA    1   CR   1+23/24   TR  0   CH 10   ST &B9 &62 &28
BA    1   CR   1+29/30   TR  0   CH 10   ST &B9 &06 &1F
BA    1   CR   1+47/48   TR  0   CH 10   ST &B9 &62 &36
BA    1   CR   1+79/80   TR  0   CH 10   ST &B9 &06 &14
BA    1   CR         2   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+1/120   TR  0   CH 10   ST &B9 &62 &2A
BA    1   CR    2+1/48   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR   2+7/240   TR  0   CH 10   ST &B9 &62 &29
BA    1   CR    2+1/24   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    2+1/20   TR  0   CH 10   ST &B9 &62 &2B
BA    1   CR    2+1/16   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR  2+17/240   TR  0   CH 10   ST &B9 &62 &2D
BA    1   CR    2+1/12   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR  2+11/120   TR  0   CH 10   ST &B9 &62 &2F
BA    1   CR    2+5/48   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    2+9/80   TR  0   CH 10   ST &B9 &62 &33
BA    1   CR     2+1/8   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    2+2/15   TR  0   CH 10   ST &B9 &62 &35
BA    1   CR    2+7/48   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR  2+37/240   TR  0   CH 10   ST &B9 &62 &3B
BA    1   CR     2+1/6   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    2+7/40   TR  0   CH 10   ST &B9 &62 &10
BA    1   CR    2+3/16   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR  2+47/240   TR  0   CH 10   ST &B9 &63 &14
BA    1   CR    2+5/24   TR  0   CH 10   ST &B9 &62 &0E
BA    1   CR   2+13/60   TR  0   CH 10   ST &B9 &06 &0C
BA    1   CR   2+11/48   TR  0   CH 10   ST &B9 &62 &10
BA    1   CR   2+19/80   TR  0   CH 10   ST &B9 &06 &1B
BA    1   CR     2+1/4   TR  0   CH 10   ST &B9 &62 &36
BA    1   CR  2+31/120   TR  0   CH 10   ST &B9 &06 &38
BA    1   CR   2+13/48   TR  0   CH 10   ST &B9 &62 &26
BA    1   CR  2+67/240   TR  0   CH 10   ST &B9 &06 &15
BA    1   CR    2+7/24   TR  0   CH 10   ST &B9 &62 &29
BA    1   CR    2+3/10   TR  0   CH 10   ST &B9 &06 &32
BA    1   CR    2+5/16   TR  0   CH 10   ST &B9 &62 &2B
BA    1   CR  2+77/240   TR  0   CH 10   ST &B9 &06 &32
BA    1   CR     2+1/3   TR  0   CH 10   ST &B9 &62 &2D
BA    1   CR  2+41/120   TR  0   CH 10   ST &B9 &06 &32
BA    1   CR   2+17/48   TR  0   CH 10   ST &B9 &62 &2F
BA    1   CR   2+29/80   TR  0   CH 10   ST &B9 &06 &32
BA    1   CR     2+3/8   TR  0   CH 10   ST &B9 &62 &28
BA    1   CR   2+23/60   TR  0   CH 10   ST &B9 &06 &46
BA    1   CR   2+19/48   TR  0   CH 10   ST &B9 &63 &18
BA    1   CR  2+97/240   TR  0   CH 10   ST &B9 &62 &0E
BA    1   CR    2+5/12   TR  0   CH 10   ST &B9 &06 &3E
BA    1   CR   2+17/40   TR  0   CH 10   ST &B9 &62 &10
BA    1   CR    2+7/16   TR  0   CH 10   ST &B9 &06 &45
BA    1   CR 2+107/240   TR  0   CH 10   ST &B9 &62 &26
BA    1   CR   2+11/24   TR  0   CH 10   ST &B9 &06 &3E
BA    1   CR    2+7/15   TR  0   CH 10   ST &B9 &63 &1A
BA    1   CR   2+23/48   TR  0   CH 10   ST &B9 &62 &36
BA    1   CR   2+39/80   TR  0   CH 10   ST &B9 &06 &5A
BA    1   CR     2+1/2   TR  0   CH 10   ST &B9 &62 &28
BA    1   CR  2+61/120   TR  0   CH 10   ST &B9 &06 &5B
BA    1   CR   2+25/48   TR  0   CH 10   ST &B9 &63 &15
BA    1   CR 2+127/240   TR  0   CH 10   ST &B9 &62 &0E
BA    1   CR   2+13/24   TR  0   CH 10   ST &B9 &06 &00
BA    1   CR   2+11/20   TR  0   CH 10   ST &B9 &62 &10
BA    1   CR    2+9/16   TR  0   CH 10   ST &B9 &06 &5E
BA    1   CR     2+5/8   TR  0   CH 11   ST &BA &00 &00
BA    1   CR   2+19/30   TR  0   CH 11   ST &BA &20 &00
BA    1   CR     2+2/3   TR  0   CH 11   ST &BA &0A &40
BA    1   CR   2+27/40   TR  0   CH 11   ST &BA &5B &50
BA    1   CR   2+11/16   TR  0   CH 11   ST &BA &5D &00
BA    1   CR 2+167/240   TR  0   CH 11   ST &BA &5E &7F
BA    1   CR   2+17/24   TR  0   CH 11   ST &BA &49 &40
BA    1   CR   2+43/60   TR  0   CH 11   ST &BA &48 &40
BA    1   CR   2+35/48   TR  0   CH 11   ST &BA &47 &48
BA    1   CR   2+59/80   TR  0   CH 11   ST &BA &4A &34
BA    1   CR     2+3/4   TR  0   CH 12   ST &BB &00 &00
BA    1   CR  2+91/120   TR  0   CH 12   ST &BB &20 &00
BA    1   CR   2+19/24   TR  0   CH 12   ST &BB &0A &40
BA    1   CR     2+4/5   TR  0   CH 12   ST &BB &5B &50
BA    1   CR   2+13/16   TR  0   CH 12   ST &BB &5D &00
BA    1   CR 2+197/240   TR  0   CH 12   ST &BB &5E &40
BA    1   CR     2+5/6   TR  0   CH 12   ST &BB &49 &40
BA    1   CR 2+101/120   TR  0   CH 12   ST &BB &48 &40
BA    1   CR   2+41/48   TR  0   CH 12   ST &BB &47 &40
BA    1   CR   2+69/80   TR  0   CH 12   ST &BB &4A &40
BA    1   CR     2+7/8   TR  0   CH 13   ST &BC &00 &00
BA    1   CR   2+53/60   TR  0   CH 13   ST &BC &20 &00
BA    1   CR   2+11/12   TR  0   CH 13   ST &BC &0A &40
BA    1   CR   2+37/40   TR  0   CH 13   ST &BC &5B &50
BA    1   CR   2+15/16   TR  0   CH 13   ST &BC &5D &46
BA    1   CR 2+227/240   TR  0   CH 13   ST &BC &5E &00
BA    1   CR   2+23/24   TR  0   CH 13   ST &BC &49 &00
BA    1   CR   2+29/30   TR  0   CH 13   ST &BC &48 &40
BA    1   CR   2+47/48   TR  0   CH 13   ST &BC &47 &40
BA    1   CR   2+79/80   TR  0   CH 13   ST &BC &4A &40
BA    1   CR         3   TR  0   CH 14   ST &BD &00 &00
BA    1   CR   3+1/120   TR  0   CH 14   ST &BD &20 &00
BA    1   CR    3+1/24   TR  0   CH 14   ST &BD &0A &40
BA    1   CR    3+1/20   TR  0   CH 14   ST &BD &5B &50
BA    1   CR    3+1/16   TR  0   CH 14   ST &BD &5D &46
BA    1   CR  3+17/240   TR  0   CH 14   ST &BD &5E &00
BA    1   CR    3+1/12   TR  0   CH 14   ST &BD &49 &40
BA    1   CR  3+11/120   TR  0   CH 14   ST &BD &48 &40
BA    1   CR    3+5/48   TR  0   CH 14   ST &BD &47 &40
BA    1   CR    3+9/80   TR  0   CH 14   ST &BD &4A &40
BA    1   CR     3+1/8   TR  0   CH 15   ST &BE &00 &00
BA    1   CR    3+2/15   TR  0   CH 15   ST &BE &20 &00
BA    1   CR     3+1/6   TR  0   CH 15   ST &BE &0A &40
BA    1   CR    3+7/40   TR  0   CH 15   ST &BE &5B &50
BA    1   CR    3+3/16   TR  0   CH 15   ST &BE &5D &46
BA    1   CR  3+47/240   TR  0   CH 15   ST &BE &5E &00
BA    1   CR    3+5/24   TR  0   CH 15   ST &BE &49 &08
BA    1   CR   3+13/60   TR  0   CH 15   ST &BE &48 &40
BA    1   CR   3+11/48   TR  0   CH 15   ST &BE &47 &40
BA    1   CR   3+19/80   TR  0   CH 15   ST &BE &4A &40
BA    1   CR     3+1/4   TR  0   CH 16   ST &BF &00 &00
BA    1   CR  3+31/120   TR  0   CH 16   ST &BF &20 &10
BA    1   CR    3+7/24   TR  0   CH 16   ST &BF &0A &40
BA    1   CR    3+3/10   TR  0   CH 16   ST &BF &5B &50
BA    1   CR    3+5/16   TR  0   CH 16   ST &BF &5D &46
BA    1   CR  3+77/240   TR  0   CH 16   ST &BF &5E &00
BA    1   CR     3+1/3   TR  0   CH 16   ST &BF &49 &00
BA    1   CR  3+41/120   TR  0   CH 16   ST &BF &48 &40
BA    1   CR   3+17/48   TR  0   CH 16   ST &BF &47 &40
BA    1   CR   3+29/80   TR  0   CH 16   ST &BF &4A &40

BA    2   CR     7/240   TR  0   CH  6   NT  B-         2+3/16   von=78
BA    2   CR      1/24   TR  0   CH  6   NT  B         1+29/48   von=66
BA    2   CR    11/240   TR  0   CH  5   NT  B-        1+49/80   von=89
BA    2   CR  1+61/120   TR  0   CH  6   NT  E         1+11/80   von=70
BA    2   CR 1+127/240   TR  0   CH  5   NT  E         223/240   von=102
BA    2   CR 1+133/240   TR  0   CH  6   NT  G#        1+23/60   von=78
BA    2   CR   1+17/30   TR  0   CH  5   NT  G#        1+1/240   von=87
BA    2   CR     1+5/8   TR  0   CH  6   NT  G#'      1+11/240   von=80
BA    2   CR  2+59/120   TR  0   CH  5   NT  B-          43/60   von=76
BA    2   CR     2+1/2   TR  0   CH  6   NT  B-         1+7/30   von=52
BA    2   CR 2+133/240   TR  0   CH  6   NT  B           11/20   von=54
BA    2   CR   2+79/80   TR  0   CH  5   NT  Eb         1+1/80   von=89
BA    2   CR   3+1/240   TR  0   CH  6   NT  Eb      1+109/240   von=75
BA    2   CR    3+1/24   TR  0   CH  5   NT  F#          37/40   von=104
BA    2   CR  3+11/240   TR  0   CH  6   NT  F#          1+1/2   von=76
BA    2   CR  3+17/240   TR  0   CH  6   NT  F#'       233/240   von=69
BA    2   CR 3+233/240   TR  0   CH  5   NT  B-         67/120   von=83
BA    2   CR 3+233/240   TR  0   CH  6   NT  B             3/5   von=59
BA    2   CR 3+233/240   TR  0   CH  6   NT  B-        1+17/24   von=66

BA    3   CR     41/80   TR  0   CH  5   NT  E         1+7/240   von=90
BA    3   CR      8/15   TR  0   CH  6   NT  E'         1+1/48   von=73
BA    3   CR   131/240   TR  0   CH  6   NT  E               1   von=77
BA    3   CR   1+11/24   TR  0   CH  6   NT  Eb       1+19/120   von=76
BA    3   CR 1+127/240   TR  0   CH  5   NT  Eb          21/40   von=95
BA    3   CR 1+127/240   TR  0   CH  6   NT  Eb'         13/24   von=71
BA    3   CR    2+1/80   TR  0   CH  5   NT  B-         1+1/24   von=86
BA    3   CR    2+1/30   TR  0   CH  6   NT  B-       1+71/120   von=60
