format=1 tracks=3 division=240
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Tempo 132
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   End of track

# TRACK 1

# BA    1   CR         0   TR  0   CH 16   Tempo 132
# BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA   24   CR         2   TR  1   CH  1   NT  D'        1+39/80
BA   24   CR     2+1/2   TR  1   CH  1   NT  G-        2+39/80
BA   24   CR         3   TR  1   CH  1   NT  B-        1+79/80
BA   24   CR     3+1/2   TR  1   CH  1   NT  F         1+39/80

BA   25   CR         0   TR  1   CH  1   NT  E'          79/80
BA   25   CR       1/2   TR  1   CH  1   NT  D'          39/80
BA   25   CR         1   TR  1   CH  1   NT  A--       2+79/80
BA   25   CR         1   TR  1   CH  1   NT  C'          79/80
BA   25   CR     1+1/2   TR  1   CH  1   NT  E-        2+39/80
BA   25   CR         2   TR  1   CH  1   NT  A-        1+79/80
BA   25   CR     2+1/2   TR  1   CH  1   NT  E         1+39/80
BA   25   CR         3   TR  1   CH  1   NT  D'          79/80
BA   25   CR     3+1/2   TR  1   CH  1   NT  C'          39/80

BA   26   CR         0   TR  1   CH  1   NT  E--         79/80
BA   26   CR         0   TR  1   CH  1   NT  B           79/80
BA   26   CR       1/2   TR  1   CH  1   NT  E-          39/80
BA   26   CR         1   TR  1   CH  1   NT  E           39/80
BA   26   CR     1+1/2   TR  1   CH  1   NT  E           79/80
BA   26   CR         2   TR  1   CH  1   NT  E'          39/80
BA   26   CR     2+1/2   TR  1   CH  1   NT  E           79/80
BA   26   CR         3   TR  1   CH  1   NT  E'          39/80
BA   26   CR     3+1/2   TR  1   CH  1   NT  E'          39/80

BA   27   CR         0   TR  1   CH  1   NT  E''         19/80
BA   27   CR       1/2   TR  1   CH  1   NT  Eb'         39/80
BA   27   CR         1   TR  1   CH  1   NT  E'          39/80
BA   27   CR     1+1/2   TR  1   CH  1   NT  Eb'         19/80
BA   27   CR         2   TR  1   CH  1   NT  E'          39/80
BA   27   CR     2+1/2   TR  1   CH  1   NT  Eb'         39/80
BA   27   CR         3   TR  1   CH  1   NT  E'          39/80
BA   27   CR     3+1/2   TR  1   CH  1   NT  Eb'         39/80

BA   28   CR         0   TR  1   CH  1   NT  E'          39/80
BA   28   CR       1/2   TR  1   CH  1   NT  Eb'         39/80
BA   28   CR         1   TR  1   CH  1   NT  E'          39/80
BA   28   CR     1+1/2   TR  1   CH  1   NT  Eb'         39/80
BA   28   CR         2   TR  1   CH  1   NT  E'          39/80
BA   28   CR     2+1/2   TR  1   CH  1   NT  B           39/80
BA   28   CR         3   TR  1   CH  1   NT  D'          39/80
BA   28   CR     3+1/2   TR  1   CH  1   NT  C'          39/80

BA   29   CR         0   TR  1   CH  1   NT  A--       2+79/80
BA   29   CR         0   TR  1   CH  1   NT  A           79/80
BA   29   CR       1/2   TR  1   CH  1   NT  E-        2+39/80
BA   29   CR         1   TR  1   CH  1   NT  A-        1+79/80
BA   29   CR     1+1/2   TR  1   CH  1   NT  C         1+39/80
BA   29   CR         2   TR  1   CH  1   NT  E           79/80
BA   29   CR     2+1/2   TR  1   CH  1   NT  A           39/80
BA   29   CR         3   TR  1   CH  1   NT  E--       2+79/80
BA   29   CR         3   TR  1   CH  1   NT  B           79/80
BA   29   CR     3+1/2   TR  1   CH  1   NT  E-        2+39/80

BA   30   CR         0   TR  1   CH  1   NT  G#-       1+79/80
BA   30   CR       1/2   TR  1   CH  1   NT  E         1+39/80
BA   30   CR         1   TR  1   CH  1   NT  G#          79/80
BA   30   CR     1+1/2   TR  1   CH  1   NT  B           39/80
BA   30   CR         2   TR  1   CH  1   NT  A--       1+39/80
BA   30   CR         2   TR  1   CH  1   NT  C'          79/80
BA   30   CR     2+1/2   TR  1   CH  1   NT  E-          79/80
BA   30   CR         3   TR  1   CH  1   NT  A-          39/80
BA   30   CR     3+1/2   TR  1   CH  1   NT  E           39/80

BA   31   CR         0   TR  1   CH  1   NT  E'          39/80
BA   31   CR       1/2   TR  1   CH  1   NT  Eb'         39/80
BA   31   CR         1   TR  1   CH  1   NT  E'          39/80
BA   31   CR     1+1/2   TR  1   CH  1   NT  Eb'         39/80
BA   31   CR         2   TR  1   CH  1   NT  E'          39/80
BA   31   CR     2+1/2   TR  1   CH  1   NT  B           39/80
BA   31   CR         3   TR  1   CH  1   NT  D'          39/80
BA   31   CR     3+1/2   TR  1   CH  1   NT  C'          39/80

BA   32   CR         0   TR  1   CH  1   NT  A--       2+79/80
BA   32   CR         0   TR  1   CH  1   NT  A           79/80
BA   32   CR       1/2   TR  1   CH  1   NT  E-        2+39/80
BA   32   CR         1   TR  1   CH  1   NT  A-        1+79/80
BA   32   CR     1+1/2   TR  1   CH  1   NT  C         1+39/80
BA   32   CR         2   TR  1   CH  1   NT  E           79/80
BA   32   CR     2+1/2   TR  1   CH  1   NT  A           39/80
BA   32   CR         3   TR  1   CH  1   NT  E--       2+79/80
BA   32   CR         3   TR  1   CH  1   NT  B           79/80
