format=1 tracks=5 division=96

BA    5   CR       1/2   TR  2   CH  4   NT  F-              1   voff=0
BA    5   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
BA    5   CR     1+1/2   TR  2   CH  4   NT  C'            1/2   voff=0
BA    5   CR     1+1/2   TR  2   CH  4   NT  D             1/2   voff=0
BA    5   CR     1+1/2   TR  2   CH  4   NT  F#-           1/2   voff=0
BA    5   CR     1+1/2   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA    5   CR         2   TR  2   CH  4   NT  C'            1/2   voff=0
BA    5   CR         2   TR  2   CH  4   NT  D               1   voff=0
BA    5   CR         2   TR  2   CH  4   NT  G-              1   voff=0
BA    5   CR         2   TR  2   CH  4   NT  Bb--            1   voff=0
BA    5   CR     2+1/2   TR  2   CH  4   NT  Bb            1/2   voff=0

BA    6   CR         0   TR  2   CH  4   NT  G             1/2   voff=0
BA    6   CR         0   TR  2   CH  4   NT  Eb            1/2   voff=0
BA    6   CR         0   TR  2   CH  4   NT  A-            1/2   voff=0
BA    6   CR         0   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA    6   CR       1/2   TR  2   CH  4   NT  F               1   voff=0
BA    6   CR       1/2   TR  2   CH  4   NT  D               1   voff=0
BA    6   CR       1/2   TR  2   CH  4   NT  Bb-             1   voff=0
BA    6   CR       1/2   TR  2   CH  4   NT  Bb--            1   voff=0
BA    6   CR     1+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA    6   CR     1+1/2   TR  2   CH  4   NT  Eb            1/2   voff=0
BA    6   CR     1+1/2   TR  2   CH  4   NT  A--           1/2   voff=0
BA    6   CR     1+1/2   TR  2   CH  4   NT  F-            1/2   voff=0
BA    6   CR         2   TR  2   CH  4   NT  F               1   voff=0
BA    6   CR         2   TR  2   CH  4   NT  D               1   voff=0
BA    6   CR         2   TR  2   CH  4   NT  Bb--            1   voff=0
BA    6   CR         2   TR  2   CH  4   NT  F-              1   voff=0

BA    7   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA    7   CR         0   TR  2   CH  4   NT  D             1/2   voff=0
BA    7   CR         0   TR  2   CH  4   NT  Bb-           1/2   voff=0
BA    7   CR         0   TR  2   CH  4   NT  D-            1/2   voff=0
BA    7   CR       1/2   TR  2   CH  4   NT  Eb              1   voff=0
BA    7   CR       1/2   TR  2   CH  4   NT  Bb-             1   voff=0
BA    7   CR       1/2   TR  2   CH  4   NT  G               1   voff=0
BA    7   CR       1/2   TR  2   CH  4   NT  Eb-             1   voff=0
BA    7   CR     1+1/2   TR  2   CH  4   NT  Eb            1/2   voff=0
BA    7   CR     1+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA    7   CR     1+1/2   TR  2   CH  4   NT  C             1/2   voff=0
BA    7   CR     1+1/2   TR  2   CH  4   NT  C-            1/2   voff=0
BA    7   CR         2   TR  2   CH  4   NT  A             1/2   voff=0
BA    7   CR         2   TR  2   CH  4   NT  Eb              1   voff=0
BA    7   CR         2   TR  2   CH  4   NT  C             1/2   voff=0
BA    7   CR         2   TR  2   CH  4   NT  F-              1   voff=0
BA    7   CR     2+1/2   TR  2   CH  4   NT  G             1/2   voff=0
BA    7   CR     2+1/2   TR  2   CH  4   NT  Bb-           1/2   voff=0

BA    8   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA    8   CR         0   TR  2   CH  4   NT  Eb            1/2   voff=0
BA    8   CR         0   TR  2   CH  4   NT  A-            1/2   voff=0
BA    8   CR         0   TR  2   CH  4   NT  F-            1/2   voff=0
BA    8   CR       1/2   TR  2   CH  4   NT  Bb          2+1/2   voff=0
BA    8   CR       1/2   TR  2   CH  4   NT  D           2+1/2   voff=0
BA    8   CR       1/2   TR  2   CH  4   NT  Bb-         2+1/2   voff=0
BA    8   CR       1/2   TR  2   CH  4   NT  Bb--        2+1/2   voff=0

BA    9   CR         0   TR  3   CH  2   NT  D             1/2   von=111   voff=0
BA    9   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA    9   CR         0   TR  3   CH  2   NT  D--           1/2   voff=0
BA    9   CR         0   TR  3   CH  2   NT  A--           1/2   voff=0
BA    9   CR       1/2   TR  3   CH  2   NT  D               1   voff=0
BA    9   CR       1/2   TR  3   CH  2   NT  D-              1   voff=0
BA    9   CR       1/2   TR  3   CH  2   NT  D--             1   voff=0
BA    9   CR       1/2   TR  3   CH  2   NT  A--             1   voff=0
BA    9   CR     1+1/2   TR  3   CH  2   NT  D-            1/2   voff=0
BA    9   CR     1+1/2   TR  3   CH  2   NT  D--           1/2   voff=0
BA    9   CR     1+1/2   TR  3   CH  2   NT  F#--          1/2   voff=0
BA    9   CR     1+1/2   TR  3   CH  2   NT  A--           1/2   voff=0
BA    9   CR         2   TR  3   CH  2   NT  D-            1/2   voff=0
BA    9   CR         2   TR  3   CH  2   NT  F#--          1/2   voff=0
BA    9   CR         2   TR  3   CH  2   NT  A--           1/2   voff=0
BA    9   CR         2   TR  3   CH  2   NT  D--           1/2   voff=0
BA    9   CR     2+1/2   TR  3   CH  2   NT  E-            1/2   voff=0
BA    9   CR     2+1/2   TR  3   CH  2   NT  G--           1/2   voff=0
BA    9   CR     2+1/2   TR  3   CH  2   NT  C-            1/2   voff=0
BA    9   CR     2+1/2   TR  3   CH  2   NT  E--           1/2   voff=0

BA   10   CR         0   TR  3   CH  2   NT  F#-           1/2   voff=0
BA   10   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   10   CR         0   TR  3   CH  2   NT  A--           1/2   voff=0
BA   10   CR         0   TR  3   CH  2   NT  F#--          1/2   voff=0
BA   10   CR       1/2   TR  3   CH  2   NT  G-              1   voff=0
BA   10   CR       1/2   TR  3   CH  2   NT  D-              1   voff=0
BA   10   CR       1/2   TR  3   CH  2   NT  G--             1   voff=0
BA   10   CR       1/2   TR  3   CH  2   NT  Bb--            1   voff=0
BA   10   CR     1+1/2   TR  3   CH  2   NT  A-            1/2   voff=0
BA   10   CR     1+1/2   TR  3   CH  2   NT  D-            1/2   voff=0
BA   10   CR     1+1/2   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   10   CR     1+1/2   TR  3   CH  2   NT  F#-           1/2   voff=0
BA   10   CR         2   TR  3   CH  2   NT  Bb-             1   voff=0
BA   10   CR         2   TR  3   CH  2   NT  D-              1   voff=0
BA   10   CR         2   TR  3   CH  2   NT  G-              1   voff=0
BA   10   CR         2   TR  3   CH  2   NT  Bb--            1   voff=0

BA   11   CR         0   TR  3   CH  2   NT  D             1/2   voff=0
BA   11   CR         0   TR  3   CH  2   NT  D-            1/2   voff=0
BA   11   CR         0   TR  3   CH  2   NT  Bb---         1/2   voff=0
BA   11   CR         0   TR  3   CH  2   NT  G--           1/2   voff=0
BA   11   CR       1/2   TR  3   CH  2   NT  C             1/2   voff=0
BA   11   CR       1/2   TR  3   CH  2   NT  F-              1   voff=0
BA   11   CR       1/2   TR  3   CH  2   NT  C--             1   voff=0
BA   11   CR       1/2   TR  3   CH  2   NT  A--           1/2   voff=0
BA   11   CR         1   TR  3   CH  2   NT  Bb-           1/2   voff=0
BA   11   CR         1   TR  3   CH  2   NT  D-            1/2   voff=0
BA   11   CR     1+1/2   TR  3   CH  2   NT  A-            1/2   voff=0
BA   11   CR     1+1/2   TR  3   CH  2   NT  F-            1/2   voff=0
BA   11   CR     1+1/2   TR  3   CH  2   NT  C--           1/2   voff=0
BA   11   CR     1+1/2   TR  3   CH  2   NT  C-            1/2   voff=0
BA   11   CR         2   TR  3   CH  2   NT  G-            1/2   voff=0
BA   11   CR         2   TR  3   CH  2   NT  E-              1   voff=0
BA   11   CR         2   TR  3   CH  2   NT  C--             1   voff=0
BA   11   CR         2   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   11   CR     2+1/2   TR  3   CH  2   NT  A-            1/2   voff=0
BA   11   CR     2+1/2   TR  3   CH  2   NT  C-            1/2   voff=0

BA   12   CR         0   TR  3   CH  2   NT  G-            1/2   voff=0
BA   12   CR         0   TR  3   CH  2   NT  E-            1/2   voff=0
BA   12   CR         0   TR  3   CH  2   NT  C--           1/2   voff=0
BA   12   CR         0   TR  3   CH  2   NT  Bb--          1/2   voff=0
BA   12   CR       1/2   TR  3   CH  2   NT  F-          2+1/2   voff=0
BA   12   CR       1/2   TR  3   CH  2   NT  F--         2+1/2   voff=0
BA   12   CR       1/2   TR  3   CH  2   NT  A--         2+1/2   voff=0
BA   12   CR       1/2   TR  3   CH  2   NT  C-          2+1/2   voff=0

BA   13   CR         0   TR  2   CH  4   NT  F             1/2   voff=0
BA   13   CR         0   TR  2   CH  4   NT  D             1/2   voff=0
BA   13   CR         0   TR  2   CH  4   NT  F-            1/2   voff=0
BA   13   CR         0   TR  2   CH  4   NT  Bb--          1/2   voff=0
BA   13   CR         0   TR  3   CH  2   Instrument 86
BA   13   CR         0   TR  3   CH  2   NT  Bb--          1/2   von=95   voff=0
BA   13   CR         0   TR  3   CH  2   NT  F-            1/2   voff=0
