format=0 tracks=1 division=96

BA    1   CR   1+43/96   TR  0   CH  9   Channel volume 100
BA    1   CR   1+43/96   TR  0   CH  9   ST &B8 &0A &40
BA    1   CR   1+43/96   TR  0   CH  9   ST &B8 &0B &7F
BA    1   CR   1+11/24   TR  0   CH  9   ST &B8 &5B &28
BA    1   CR   1+15/32   TR  0   CH 10   ST &B9 &00 &00
BA    1   CR   1+47/96   TR  0   CH 10   Instrument 1
BA    1   CR     1+1/2   TR  0   CH 10   Channel volume 80
BA    1   CR     1+1/2   TR  0   CH 10   ST &B9 &0A &40
BA    1   CR     1+1/2   TR  0   CH 10   ST &B9 &0B &7F
BA    1   CR   1+49/96   TR  0   CH 10   ST &B9 &5B &28
BA    1   CR         2   TR  0   CH  1   ST &B0 &65 &00
BA    1   CR    2+1/96   TR  0   CH  1   ST &B0 &64 &00
BA    1   CR    2+1/48   TR  0   CH  1   ST &B0 &06 &0C
BA    1   CR    2+1/32   TR  0   CH  1   ST &B0 &65 &7F
BA    1   CR    2+1/24   TR  0   CH  1   ST &B0 &64 &7F
BA    1   CR    2+5/96   TR  0   CH  2   ST &B1 &65 &00
BA    1   CR    2+1/16   TR  0   CH  2   ST &B1 &64 &00
BA    1   CR    2+7/96   TR  0   CH  2   ST &B1 &06 &0C
BA    1   CR    2+1/12   TR  0   CH  2   ST &B1 &63 &01
BA    1   CR    2+3/32   TR  0   CH  2   ST &B1 &62 &20
BA    1   CR    2+5/48   TR  0   CH  2   ST &B1 &06 &22
BA    1   CR   2+11/96   TR  0   CH  2   ST &B1 &65 &7F
BA    1   CR     2+1/8   TR  0   CH  2   ST &B1 &64 &7F
BA    1   CR   2+13/96   TR  0   CH  3   ST &B2 &65 &00
BA    1   CR    2+7/48   TR  0   CH  3   ST &B2 &64 &00
BA    1   CR    2+5/32   TR  0   CH  3   ST &B2 &06 &0C
BA    1   CR     2+1/6   TR  0   CH  3   ST &B2 &63 &01
BA    1   CR   2+17/96   TR  0   CH  3   ST &B2 &62 &20
BA    1   CR    2+3/16   TR  0   CH  3   ST &B2 &06 &32
BA    1   CR   2+19/96   TR  0   CH  3   ST &B2 &63 &01
BA    1   CR    2+5/24   TR  0   CH  3   ST &B2 &62 &64
BA    1   CR    2+7/32   TR  0   CH  3   ST &B2 &06 &46
BA    1   CR   2+11/48   TR  0   CH  3   ST &B2 &65 &7F
BA    1   CR   2+23/96   TR  0   CH  3   ST &B2 &64 &7F
BA    1   CR     2+1/4   TR  0   CH  4   ST &B3 &65 &00
BA    1   CR   2+25/96   TR  0   CH  4   ST &B3 &64 &00
BA    1   CR   2+13/48   TR  0   CH  4   ST &B3 &06 &0C
BA    1   CR    2+9/32   TR  0   CH  4   ST &B3 &65 &7F
BA    1   CR    2+7/24   TR  0   CH  4   ST &B3 &64 &7F
BA    1   CR   2+29/96   TR  0   CH  5   ST &B4 &65 &00
BA    1   CR    2+5/16   TR  0   CH  5   ST &B4 &64 &00
BA    1   CR   2+31/96   TR  0   CH  5   ST &B4 &06 &0C
BA    1   CR     2+1/3   TR  0   CH  5   ST &B4 &63 &01
BA    1   CR   2+11/32   TR  0   CH  5   ST &B4 &62 &63
BA    1   CR   2+17/48   TR  0   CH  5   ST &B4 &06 &40
BA    1   CR   2+35/96   TR  0   CH  5   ST &B4 &65 &7F
BA    1   CR     2+3/8   TR  0   CH  5   ST &B4 &64 &7F
BA    1   CR   2+37/96   TR  0   CH  6   ST &B5 &65 &00
BA    1   CR   2+19/48   TR  0   CH  6   ST &B5 &64 &00
BA    1   CR   2+13/32   TR  0   CH  6   ST &B5 &06 &0C
BA    1   CR    2+5/12   TR  0   CH  6   ST &B5 &65 &7F
BA    1   CR   2+41/96   TR  0   CH  6   ST &B5 &64 &7F
BA    1   CR    2+7/16   TR  0   CH  7   ST &B6 &65 &00
BA    1   CR   2+43/96   TR  0   CH  7   ST &B6 &64 &00
BA    1   CR   2+11/24   TR  0   CH  7   ST &B6 &06 &0C
BA    1   CR   2+15/32   TR  0   CH  7   ST &B6 &63 &01
BA    1   CR   2+23/48   TR  0   CH  7   ST &B6 &62 &20
BA    1   CR   2+47/96   TR  0   CH  7   ST &B6 &06 &36
BA    1   CR     2+1/2   TR  0   CH  7   ST &B6 &63 &01
BA    1   CR   2+49/96   TR  0   CH  7   ST &B6 &62 &21
BA    1   CR   2+25/48   TR  0   CH  7   ST &B6 &06 &4E
BA    1   CR   2+17/32   TR  0   CH  7   ST &B6 &63 &01
BA    1   CR   2+13/24   TR  0   CH  7   ST &B6 &62 &08
BA    1   CR   2+53/96   TR  0   CH  7   ST &B6 &06 &4E
BA    1   CR    2+9/16   TR  0   CH  7   ST &B6 &63 &01
BA    1   CR   2+55/96   TR  0   CH  7   ST &B6 &62 &0A
BA    1   CR    2+7/12   TR  0   CH  7   ST &B6 &06 &0E
BA    1   CR   2+19/32   TR  0   CH  7   ST &B6 &65 &7F
BA    1   CR   2+29/48   TR  0   CH  7   ST &B6 &64 &7F
BA    1   CR   2+59/96   TR  0   CH  8   ST &B7 &65 &00
BA    1   CR     2+5/8   TR  0   CH  8   ST &B7 &64 &00
BA    1   CR   2+61/96   TR  0   CH  8   ST &B7 &06 &0C
BA    1   CR   2+31/48   TR  0   CH  8   ST &B7 &65 &7F
BA    1   CR   2+21/32   TR  0   CH  8   ST &B7 &64 &7F
BA    1   CR     2+2/3   TR  0   CH  9   ST &B8 &65 &00
BA    1   CR   2+65/96   TR  0   CH  9   ST &B8 &64 &00
BA    1   CR   2+11/16   TR  0   CH  9   ST &B8 &06 &0C
BA    1   CR   2+67/96   TR  0   CH  9   ST &B8 &63 &01
BA    1   CR   2+17/24   TR  0   CH  9   ST &B8 &62 &63
BA    1   CR   2+23/32   TR  0   CH  9   ST &B8 &06 &3D
BA    1   CR   2+35/48   TR  0   CH  9   ST &B8 &63 &01
BA    1   CR   2+71/96   TR  0   CH  9   ST &B8 &62 &64
BA    1   CR     2+3/4   TR  0   CH  9   ST &B8 &06 &43
BA    1   CR   2+73/96   TR  0   CH  9   ST &B8 &65 &7F
BA    1   CR   2+37/48   TR  0   CH  9   ST &B8 &64 &7F
BA    1   CR   2+25/32   TR  0   CH 10   ST &B9 &63 &18
BA    1   CR   2+19/24   TR  0   CH 10   ST &B9 &62 &28
BA    1   CR   2+77/96   TR  0   CH 10   ST &B9 &06 &3D
BA    1   CR   2+13/16   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+79/96   TR  0   CH 10   ST &B9 &62 &29
BA    1   CR     2+5/6   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR   2+27/32   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+41/48   TR  0   CH 10   ST &B9 &62 &2B
BA    1   CR   2+83/96   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR     2+7/8   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+85/96   TR  0   CH 10   ST &B9 &62 &2F
BA    1   CR   2+43/48   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR   2+29/32   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+11/12   TR  0   CH 10   ST &B9 &62 &30
BA    1   CR   2+89/96   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR   2+15/16   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+91/96   TR  0   CH 10   ST &B9 &62 &31
BA    1   CR   2+23/24   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR   2+31/32   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR   2+47/48   TR  0   CH 10   ST &B9 &62 &2A
BA    1   CR   2+95/96   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR         3   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR    3+1/96   TR  0   CH 10   ST &B9 &62 &2C
BA    1   CR    3+1/48   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    3+1/32   TR  0   CH 10   ST &B9 &63 &1C
BA    1   CR    3+1/24   TR  0   CH 10   ST &B9 &62 &2E
BA    1   CR    3+5/96   TR  0   CH 10   ST &B9 &06 &40
BA    1   CR    3+1/16   TR  0   CH 10   ST &B9 &63 &1C
