format=0 tracks=1 division=96

BA 1071   CR    1+7/12   TR  0   CH  1   NT  E           31/96   von=12
BA 1071   CR   1+65/96   TR  0   CH  1   NT  G#          55/96   von=43
BA 1071   CR   1+67/96   TR  0   CH  1   NT  A--       1+11/24   von=23
BA 1071   CR     1+7/8   TR  0   CH  1   ST &B0 &40 &00
BA 1071   CR     1+7/8   TR  0   CH  1   ST &B0 &40 &7F
BA 1071   CR     2+5/8   TR  0   CH  1   NT  A           13/96   von=48
BA 1071   CR     3+1/8   TR  0   CH  1   NT  B            9/32   von=72
BA 1071   CR     3+7/8   TR  0   CH  1   NT  E-          25/32   von=37
BA 1071   CR   3+89/96   TR  0   CH  1   ST &B0 &40 &7F
BA 1071   CR   3+89/96   TR  0   CH  1   ST &B0 &40 &7F

BA 1072   CR     11/32   TR  0   CH  1   ST &B0 &40 &7F
BA 1072   CR     11/32   TR  0   CH  1   ST &B0 &40 &7F
BA 1072   CR     53/96   TR  0   CH  1   NT  A           53/96   von=43
BA 1072   CR     19/32   TR  0   CH  1   NT  B-        1+71/96   von=16
BA 1072   CR     29/48   TR  0   CH  1   NT  F#           7/48   von=35
BA 1072   CR     31/48   TR  0   CH  1   NT  D           13/48   von=21
BA 1072   CR     2+3/8   TR  0   CH  1   NT  F#            1/8   von=19
BA 1072   CR   2+37/96   TR  0   CH  1   NT  E-          17/96   von=28
BA 1072   CR   2+59/96   TR  0   CH  1   ST &B0 &40 &7F
BA 1072   CR   2+59/96   TR  0   CH  1   ST &B0 &40 &00
BA 1072   CR   2+31/48   TR  0   CH  1   NT  G#        1+71/96   von=45
BA 1072   CR   2+37/48   TR  0   CH  1   NT  A--         23/48   von=31
BA 1072   CR    3+5/48   TR  0   CH  1   ST &B0 &40 &00
BA 1072   CR    3+5/48   TR  0   CH  1   ST &B0 &40 &7F
BA 1072   CR   3+11/24   TR  0   CH  1   NT  A-          11/12   von=26
BA 1072   CR     3+1/2   TR  0   CH  1   NT  E           73/96   von=38
BA 1072   CR   3+17/32   TR  0   CH  1   NT  C#          25/48   von=21

BA 1073   CR     53/96   TR  0   CH  1   NT  E-        2+17/24   von=33
BA 1073   CR     43/48   TR  0   CH  1   ST &B0 &40 &7F
BA 1073   CR     43/48   TR  0   CH  1   ST &B0 &40 &00
BA 1073   CR     31/32   TR  0   CH  1   NT  E--       1+43/48   von=49
BA 1073   CR   1+13/32   TR  0   CH  1   ST &B0 &40 &00
BA 1073   CR   1+13/32   TR  0   CH  1   ST &B0 &40 &00
BA 1073   CR   1+23/32   TR  0   CH  1   NT  D           23/48   von=44
BA 1073   CR   1+35/48   TR  0   CH  1   NT  F#            5/8   von=35
BA 1073   CR   1+73/96   TR  0   CH  1   NT  B-          23/32   von=33
BA 1073   CR     3+2/3   TR  0   CH  1   NT  A--        2+5/48   von=43
BA 1073   CR     3+3/4   TR  0   CH  1   ST &B0 &40 &00
BA 1073   CR     3+3/4   TR  0   CH  1   ST &B0 &40 &00

BA 1074   CR     19/96   TR  0   CH  1   ST &B0 &40 &00
BA 1074   CR     19/96   TR  0   CH  1   ST &B0 &40 &7F
BA 1074   CR     13/24   TR  0   CH  1   NT  C#          11/12   von=44
BA 1074   CR      9/16   TR  0   CH  1   NT  E          1+1/96   von=42
BA 1074   CR     21/32   TR  0   CH  1   NT  G#-         19/96   von=17
BA 1074   CR   1+37/48   TR  0   CH  1   NT  E-        1+37/48   von=28
BA 1074   CR   2+21/32   TR  0   CH  1   NT  E--       1+41/48   von=44
BA 1074   CR   2+67/96   TR  0   CH  1   ST &B0 &40 &7F
BA 1074   CR   2+67/96   TR  0   CH  1   ST &B0 &40 &00
BA 1074   CR    3+1/24   TR  0   CH  1   ST &B0 &40 &00
BA 1074   CR    3+1/24   TR  0   CH  1   ST &B0 &40 &7F
BA 1074   CR    3+7/24   TR  0   CH  1   NT  F#           7/24   von=74
BA 1074   CR     3+3/8   TR  0   CH  1   NT  D           17/96   von=23
BA 1074   CR   3+85/96   TR  0   CH  1   NT  G           13/96   von=58

BA 1075   CR     13/24   TR  0   CH  1   NT  E-          17/48   von=28
BA 1075   CR      9/16   TR  0   CH  1   NT  A            7/48   von=32
BA 1075   CR   1+31/96   TR  0   CH  1   ST &B0 &40 &7F
BA 1075   CR   1+31/96   TR  0   CH  1   ST &B0 &40 &00
BA 1075   CR   1+31/96   TR  0   CH  1   NT  A--        1+7/24   von=37
BA 1075   CR   1+13/32   TR  0   CH  1   NT  C          1+1/24   von=16
BA 1075   CR    1+5/12   TR  0   CH  1   NT  G         1+11/48   von=38
BA 1075   CR    1+7/16   TR  0   CH  1   NT  E           1+1/6   von=30
BA 1075   CR     1+1/2   TR  0   CH  1   NT  B         1+41/96   von=45
BA 1075   CR   1+43/48   TR  0   CH  1   ST &B0 &40 &00
BA 1075   CR   1+43/48   TR  0   CH  1   ST &B0 &40 &00
