format=1 tracks=4 division=192
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 100
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track

# TRACK 1

# BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
# BA    1   CR         0   TR  0   CH 16   Tempo 100
# BA    1   CR         0   TR  0   CH 16   Key C major
BA    5   CR   2+21/32   TR  1   CH  1   NT  F#           7/32   von=46
BA    5   CR    3+1/32   TR  1   CH  1   ST &B0 &40 &00
BA    5   CR    3+5/48   TR  1   CH  1   NT  D--          7/12   von=60
BA    5   CR   3+11/96   TR  1   CH  1   NT  A-           5/24   von=62
BA    5   CR   3+11/96   TR  1   CH  1   NT  A            7/32   von=66
BA    5   CR   3+11/96   TR  1   CH  1   NT  D          37/192
BA    5   CR     3+1/8   TR  1   CH  1   NT  F#           3/16   von=46
BA    5   CR    3+7/48   TR  1   CH  1   NT  D-            1/2   von=55
BA    5   CR   3+23/96   TR  1   CH  1   ST &B0 &40 &7F
BA    5   CR   3+35/64   TR  1   CH  1   NT  D             1/6   von=64
BA    5   CR 3+107/192   TR  1   CH  1   NT  A          41/192   von=53
BA    5   CR   3+55/96   TR  1   CH  1   NT  A-            1/8   von=62
BA    5   CR   3+55/96   TR  1   CH  1   NT  F#         13/192   von=41
BA    5   CR   3+95/96   TR  1   CH  1   NT  A--           1/6   von=62
BA    5   CR   3+95/96   TR  1   CH  1   NT  G          35/192   von=69

BA    6   CR     1/192   TR  1   CH  1   NT  D          23/192   von=62
BA    6   CR      1/48   TR  1   CH  1   NT  A-           7/64
BA    6   CR     25/64   TR  1   CH  1   NT  F#         29/192   von=41
BA    6   CR     13/16   TR  1   CH  1   ST &B0 &40 &00
BA    6   CR   163/192   TR  1   CH  1   NT  A--             1   von=67
BA    6   CR       7/8   TR  1   CH  1   NT  E          1+1/64   von=79
BA    6   CR   169/192   TR  1   CH  1   NT  E-        115/192   von=60
BA    6   CR  1+11/192   TR  1   CH  1   ST &B0 &40 &7F
BA    6   CR 1+139/192   TR  1   CH  1   NT  E-          11/64   von=33
BA    6   CR   1+71/96   TR  1   CH  1   NT  A-           9/64   von=41
BA    6   CR 1+145/192   TR  1   CH  1   NT  C#-        23/192   von=40
BA    6   CR 1+145/192   TR  1   CH  1   NT  C#          13/96   von=33
BA    6   CR    2+5/32   TR  1   CH  1   NT  A-          17/96   von=70
BA    6   CR    2+7/12   TR  1   CH  1   NT  A--       113/192   von=62
BA    6   CR 2+115/192   TR  1   CH  1   NT  C#         35/192   von=58
BA    6   CR 2+115/192   TR  1   CH  1   NT  E-          13/24   von=65
BA    6   CR   2+29/48   TR  1   CH  1   NT  A-          17/96   von=61
BA    6   CR 2+131/192   TR  1   CH  1   ST &B0 &40 &7F
